,0,1
0,cricket_offset_-0.2_cut_3_45,6
0,soccer_offset_-0.2_cut_2_25,3
0,nfl_offset_1.5_cut_7_00,10
0,cricket_cut_3_45,0
0,nfl_offset_-1.5_cut_7_00,4
0,soccer_cut_2_25,0
0,cricket_offset_-0.4_cut_3_45,44
0,nfl_offset_-0.6_cut_7_00,34
0,tennis_offset_-1_cut_24,1
0,soccer_offset_-0.4_cut_2_25,20
0,tennis_offset_-1.5_cut_24,59
0,newsreader_offset_-0.2_cut_5,38
0,tennis_offset_-0.6_cut_24,38
0,cricket_offset_1_cut_3_45,84
0,tennis_offset_1_cut_24,21
0,newsreader_offset_-0.1_cut_5,1
0,soccer_offset_0.8_cut_2_25,76
0,newsreader_offset_0.1_cut_5,63
0,nfl_offset_-0.8_cut_7_00,50
0,cricket_offset_-1_cut_3_45,91
0,tennis_offset_1.5_cut_24,20
0,soccer_offset_-0.8_cut_2_25,56
0,tennis_cut_24,5
0,newsreader_cut_5,1
0,soccer_offset_0.2_cut_2_25,6
0,nfl_offset_0.8_cut_7_00,12
0,cricket_offset_0.8_cut_3_45,91
0,soccer_offset_2.5_cut_2_25,97
0,cricket_offset_0.4_cut_3_45,75
0,newsreader_offset_-0.05_cut_5,3
0,nfl_offset_-0.2_cut_7_00,7
0,newsreader_offset_-0.4_cut_5,71
0,soccer_offset_0.4_cut_2_25,58
0,newsreader_offset_0.05_cut_5,5
0,tennis_offset_-0.2_cut_24,20
0,cricket_offset_-0.8_cut_3_45,78
0,newsreader_offset_0.4_cut_5,91
0,cricket_offset_0.2_cut_3_45,12
0,nfl_cut_7_00,2
0,tennis_offset_0.2_cut_24,2
0,nfl_offset_0.6_cut_7_00,9
0,tennis_offset_0.6_cut_24,18
0,nfl_offset_0.2_cut_7_00,13
0,soccer_offset_-2.5_cut_2_25,79
0,newsreader_offset_0.2_cut_5,39
