,0,1
0,soccer_offset_-2.5_cut_2_25,90
0,cricket_offset_0.4_cut_3_45,86
0,nfl_cut_7_00,51
0,tennis_offset_1_cut_24,7
0,nfl_offset_0.6_cut_7_00,35
0,tennis_offset_-0.6_cut_24,31
0,nfl_offset_-0.2_cut_7_00,17
0,cricket_cut_3_45,28
0,soccer_offset_0.8_cut_2_25,38
0,newsreader_offset_-0.05_cut_5,5
0,soccer_offset_0.4_cut_2_25,8
0,newsreader_offset_0.4_cut_5,63
0,soccer_offset_-0.4_cut_2_25,46
0,nfl_offset_0.8_cut_7_00,40
0,tennis_offset_-0.2_cut_24,8
0,newsreader_offset_-0.2_cut_5,12
0,nfl_offset_-1.5_cut_7_00,60
0,soccer_offset_-0.2_cut_2_25,14
0,newsreader_offset_0.05_cut_5,48
0,nfl_offset_0.2_cut_7_00,25
0,tennis_offset_-1_cut_24,53
0,cricket_offset_-0.8_cut_3_45,79
0,tennis_offset_1.5_cut_24,28
0,cricket_offset_-0.4_cut_3_45,59
0,cricket_offset_-0.2_cut_3_45,6
0,tennis_cut_24,14
0,cricket_offset_0.2_cut_3_45,36
0,newsreader_cut_5,11
0,nfl_offset_1.5_cut_7_00,37
0,soccer_cut_2_25,9
0,tennis_offset_0.6_cut_24,21
0,newsreader_offset_-0.4_cut_5,55
0,cricket_offset_1_cut_3_45,62
0,newsreader_offset_-0.1_cut_5,12
0,soccer_offset_-0.8_cut_2_25,37
0,tennis_offset_0.2_cut_24,9
0,soccer_offset_2.5_cut_2_25,85
0,tennis_offset_-1.5_cut_24,84
0,newsreader_offset_0.2_cut_5,71
0,cricket_offset_-1_cut_3_45,46
0,newsreader_offset_0.1_cut_5,22
0,soccer_offset_0.2_cut_2_25,30
0,nfl_offset_-0.8_cut_7_00,16
0,cricket_offset_0.8_cut_3_45,77
0,nfl_offset_-0.6_cut_7_00,26
