,0,1
0,nfl_offset_-0.8_cut_7_00,52
0,tennis_offset_-1_cut_24,9
0,soccer_offset_-2.5_cut_2_25,72
0,tennis_offset_-0.2_cut_24,33
0,cricket_offset_0.4_cut_3_45,35
0,nfl_offset_0.6_cut_7_00,20
0,cricket_offset_1_cut_3_45,60
0,soccer_offset_0.8_cut_2_25,17
0,nfl_offset_0.8_cut_7_00,14
0,newsreader_cut_5,9
0,soccer_offset_-0.2_cut_2_25,5
0,nfl_offset_-1.5_cut_7_00,33
0,cricket_offset_-0.4_cut_3_45,12
0,tennis_offset_0.6_cut_24,35
0,cricket_offset_0.2_cut_3_45,3
0,tennis_offset_-1.5_cut_24,28
0,nfl_offset_-0.6_cut_7_00,28
0,soccer_cut_2_25,1
0,newsreader_offset_-0.1_cut_5,3
0,tennis_offset_-0.6_cut_24,17
0,newsreader_offset_-0.05_cut_5,2
0,soccer_offset_0.4_cut_2_25,32
0,cricket_offset_-1_cut_3_45,60
0,newsreader_offset_0.05_cut_5,3
0,nfl_offset_0.2_cut_7_00,8
0,newsreader_offset_-0.2_cut_5,3
0,nfl_cut_7_00,7
0,newsreader_offset_0.4_cut_5,66
0,tennis_offset_0.2_cut_24,4
0,cricket_offset_0.8_cut_3_45,42
0,tennis_cut_24,6
0,cricket_offset_-0.8_cut_3_45,34
0,nfl_offset_-0.2_cut_7_00,9
0,soccer_offset_-0.4_cut_2_25,21
0,newsreader_offset_0.1_cut_5,34
0,tennis_offset_1.5_cut_24,3
0,soccer_offset_2.5_cut_2_25,76
0,nfl_offset_1.5_cut_7_00,56
0,cricket_cut_3_45,3
0,newsreader_offset_-0.4_cut_5,5
0,tennis_offset_1_cut_24,45
0,cricket_offset_-0.2_cut_3_45,6
0,newsreader_offset_0.2_cut_5,43
0,soccer_offset_-0.8_cut_2_25,44
0,soccer_offset_0.2_cut_2_25,6
