,0,1
0,cricket_offset_0.8_cut_3_45,59
0,tennis_offset_-0.2_cut_24,36
0,cricket_offset_-0.2_cut_3_45,10
0,tennis_cut_24,9
0,newsreader_cut_5,12
0,nfl_offset_1.5_cut_7_00,69
0,soccer_offset_2.5_cut_2_25,85
0,tennis_offset_0.6_cut_24,71
0,nfl_offset_-0.8_cut_7_00,51
0,tennis_offset_0.2_cut_24,13
0,nfl_cut_7_00,3
0,soccer_offset_-0.8_cut_2_25,52
0,tennis_offset_-1.5_cut_24,49
0,soccer_offset_-0.2_cut_2_25,10
0,nfl_offset_-1.5_cut_7_00,86
0,newsreader_offset_0.05_cut_5,24
0,nfl_offset_-0.6_cut_7_00,61
0,newsreader_offset_0.1_cut_5,47
0,cricket_offset_0.2_cut_3_45,40
0,soccer_offset_-2.5_cut_2_25,83
0,cricket_offset_1_cut_3_45,90
0,soccer_offset_0.8_cut_2_25,75
0,newsreader_offset_-0.2_cut_5,9
0,nfl_offset_-0.2_cut_7_00,14
0,cricket_offset_-1_cut_3_45,69
0,newsreader_offset_-0.05_cut_5,17
0,soccer_offset_0.2_cut_2_25,40
0,tennis_offset_-0.6_cut_24,49
0,cricket_offset_-0.4_cut_3_45,31
0,newsreader_offset_-0.4_cut_5,66
0,tennis_offset_1.5_cut_24,72
0,newsreader_offset_-0.1_cut_5,15
0,tennis_offset_1_cut_24,75
0,nfl_offset_0.2_cut_7_00,32
0,tennis_offset_-1_cut_24,17
0,soccer_offset_0.4_cut_2_25,43
0,nfl_offset_0.6_cut_7_00,56
0,soccer_cut_2_25,3
0,cricket_offset_0.4_cut_3_45,62
0,nfl_offset_0.8_cut_7_00,73
0,soccer_offset_-0.4_cut_2_25,29
0,cricket_offset_-0.8_cut_3_45,78
0,newsreader_offset_0.2_cut_5,76
0,cricket_cut_3_45,10
0,newsreader_offset_0.4_cut_5,91
