,0,1
0,newsreader_offset_0.2_cut_5,9
0,nfl_offset_0.8_cut_7_00,0
0,tennis_offset_1.5_cut_24,9
0,newsreader_offset_0.1_cut_5,1
0,cricket_offset_0.4_cut_3_45,26
0,newsreader_cut_5,0
0,nfl_offset_0.6_cut_7_00,17
0,soccer_offset_-2.5_cut_2_25,67
0,newsreader_offset_-0.2_cut_5,0
0,tennis_offset_-0.2_cut_24,2
0,newsreader_offset_-0.4_cut_5,29
0,tennis_offset_0.2_cut_24,0
0,nfl_cut_7_00,0
0,cricket_offset_-0.4_cut_3_45,31
0,tennis_offset_-1_cut_24,12
0,newsreader_offset_0.4_cut_5,66
0,soccer_offset_-0.2_cut_2_25,1
0,cricket_offset_-0.2_cut_3_45,4
0,nfl_offset_-0.8_cut_7_00,29
0,tennis_offset_-0.6_cut_24,67
0,cricket_cut_3_45,1
0,soccer_offset_0.4_cut_2_25,0
0,cricket_offset_-1_cut_3_45,70
0,soccer_cut_2_25,0
0,tennis_cut_24,0
0,soccer_offset_-0.8_cut_2_25,0
0,nfl_offset_-1.5_cut_7_00,58
0,tennis_offset_-1.5_cut_24,39
0,cricket_offset_0.2_cut_3_45,4
0,soccer_offset_0.8_cut_2_25,27
0,cricket_offset_-0.8_cut_3_45,58
0,soccer_offset_2.5_cut_2_25,91
0,nfl_offset_-0.6_cut_7_00,28
0,tennis_offset_1_cut_24,11
0,soccer_offset_-0.4_cut_2_25,1
0,newsreader_offset_-0.1_cut_5,0
0,cricket_offset_1_cut_3_45,46
0,nfl_offset_1.5_cut_7_00,47
0,tennis_offset_0.6_cut_24,38
0,nfl_offset_-0.2_cut_7_00,0
0,newsreader_offset_-0.05_cut_5,0
0,nfl_offset_0.2_cut_7_00,0
0,soccer_offset_0.2_cut_2_25,0
0,cricket_offset_0.8_cut_3_45,28
0,newsreader_offset_0.05_cut_5,0
