,0,1
0,soccer_cut_2_25,0
0,cricket_offset_-0.2_cut_3_45,0
0,tennis_offset_-1.5_cut_24,19
0,nfl_offset_1.5_cut_7_00,0
0,newsreader_cut_5,0
0,soccer_offset_-0.4_cut_2_25,73
0,nfl_offset_-0.8_cut_7_00,0
0,nfl_offset_0.6_cut_7_00,0
0,cricket_offset_1_cut_3_45,74
0,nfl_offset_-1.5_cut_7_00,49
0,newsreader_offset_0.2_cut_5,15
0,cricket_offset_-0.4_cut_3_45,7
0,newsreader_offset_0.05_cut_5,0
0,nfl_cut_7_00,16
0,cricket_offset_0.4_cut_3_45,49
0,cricket_offset_-0.8_cut_3_45,48
0,tennis_offset_-0.6_cut_24,13
0,cricket_cut_3_45,0
0,newsreader_offset_-0.4_cut_5,8
0,nfl_offset_0.2_cut_7_00,10
0,tennis_offset_0.2_cut_24,0
0,nfl_offset_0.8_cut_7_00,0
0,tennis_offset_0.6_cut_24,19
0,nfl_offset_-0.2_cut_7_00,17
0,tennis_offset_1_cut_24,0
0,soccer_offset_0.8_cut_2_25,7
0,tennis_offset_-0.2_cut_24,0
0,cricket_offset_0.2_cut_3_45,3
0,newsreader_offset_-0.2_cut_5,0
0,soccer_offset_0.2_cut_2_25,0
0,newsreader_offset_0.4_cut_5,18
0,cricket_offset_0.8_cut_3_45,51
0,newsreader_offset_-0.1_cut_5,0
0,newsreader_offset_-0.05_cut_5,0
0,soccer_offset_-2.5_cut_2_25,100
0,newsreader_offset_0.1_cut_5,24
0,cricket_offset_-1_cut_3_45,100
0,soccer_offset_-0.8_cut_2_25,100
0,tennis_cut_24,0
0,soccer_offset_-0.2_cut_2_25,35
0,tennis_offset_-1_cut_24,0
0,soccer_offset_0.4_cut_2_25,17
0,tennis_offset_1.5_cut_24,9
0,soccer_offset_2.5_cut_2_25,100
0,nfl_offset_-0.6_cut_7_00,21
