,0,1
0,newsreader_cut_5,11
0,cricket_offset_0.8_cut_3_45,8
0,soccer_offset_0.4_cut_2_25,0
0,cricket_offset_0.2_cut_3_45,0
0,newsreader_offset_0.05_cut_5,26
0,cricket_offset_-0.8_cut_3_45,76
0,soccer_cut_2_25,10
0,tennis_offset_-0.6_cut_24,3
0,nfl_offset_0.8_cut_7_00,3
0,tennis_offset_0.6_cut_24,67
0,soccer_offset_-0.2_cut_2_25,0
0,cricket_offset_0.4_cut_3_45,42
0,nfl_offset_-0.8_cut_7_00,12
0,newsreader_offset_-0.2_cut_5,6
0,tennis_offset_-0.2_cut_24,20
0,newsreader_offset_-0.05_cut_5,0
0,tennis_cut_24,15
0,cricket_offset_-0.2_cut_3_45,20
0,nfl_offset_0.6_cut_7_00,26
0,soccer_offset_0.2_cut_2_25,11
0,nfl_offset_-0.6_cut_7_00,3
0,soccer_offset_-0.4_cut_2_25,4
0,nfl_cut_7_00,0
0,tennis_offset_1.5_cut_24,82
0,newsreader_offset_0.2_cut_5,98
0,nfl_offset_-0.2_cut_7_00,49
0,newsreader_offset_-0.4_cut_5,98
0,cricket_offset_1_cut_3_45,51
0,tennis_offset_1_cut_24,98
0,newsreader_offset_-0.1_cut_5,53
0,nfl_offset_-1.5_cut_7_00,9
0,soccer_offset_0.8_cut_2_25,80
0,cricket_offset_-0.4_cut_3_45,78
0,newsreader_offset_0.4_cut_5,100
0,nfl_offset_1.5_cut_7_00,52
0,soccer_offset_-0.8_cut_2_25,74
0,nfl_offset_0.2_cut_7_00,51
0,tennis_offset_-1_cut_24,48
0,cricket_offset_-1_cut_3_45,53
0,soccer_offset_2.5_cut_2_25,100
0,tennis_offset_0.2_cut_24,80
0,cricket_cut_3_45,8
0,newsreader_offset_0.1_cut_5,64
0,soccer_offset_-2.5_cut_2_25,100
0,tennis_offset_-1.5_cut_24,49
