,0,1
0,cricket_offset_-0.8_cut_3_45,78
0,tennis_offset_-0.2_cut_24,62
0,newsreader_offset_-0.4_cut_5,68
0,soccer_offset_-0.4_cut_2_25,17
0,newsreader_offset_-0.2_cut_5,16
0,tennis_offset_-1.5_cut_24,62
0,soccer_offset_0.8_cut_2_25,62
0,nfl_offset_-0.2_cut_7_00,19
0,soccer_offset_0.4_cut_2_25,22
0,nfl_offset_1.5_cut_7_00,15
0,cricket_offset_0.8_cut_3_45,36
0,nfl_offset_0.8_cut_7_00,39
0,tennis_offset_0.6_cut_24,22
0,nfl_offset_-0.8_cut_7_00,26
0,tennis_offset_1_cut_24,16
0,nfl_offset_-0.6_cut_7_00,32
0,soccer_offset_-0.2_cut_2_25,25
0,nfl_offset_-1.5_cut_7_00,78
0,cricket_cut_3_45,14
0,nfl_offset_0.2_cut_7_00,63
0,cricket_offset_-0.4_cut_3_45,75
0,soccer_offset_0.2_cut_2_25,39
0,newsreader_offset_-0.1_cut_5,17
0,soccer_offset_-2.5_cut_2_25,81
0,newsreader_offset_0.2_cut_5,77
0,tennis_offset_0.2_cut_24,14
0,newsreader_offset_0.4_cut_5,80
0,cricket_offset_1_cut_3_45,66
0,nfl_cut_7_00,57
0,cricket_offset_0.2_cut_3_45,71
0,tennis_offset_1.5_cut_24,21
0,cricket_offset_-1_cut_3_45,70
0,soccer_offset_-0.8_cut_2_25,19
0,tennis_offset_-1_cut_24,36
0,newsreader_offset_0.05_cut_5,43
0,soccer_offset_2.5_cut_2_25,72
0,tennis_offset_-0.6_cut_24,45
0,nfl_offset_0.6_cut_7_00,55
0,newsreader_cut_5,25
0,cricket_offset_-0.2_cut_3_45,21
0,soccer_cut_2_25,36
0,newsreader_offset_-0.05_cut_5,14
0,tennis_cut_24,32
0,cricket_offset_0.4_cut_3_45,78
0,newsreader_offset_0.1_cut_5,58
