,0,1
0,soccer_offset_0.2_cut_2_25,0
0,newsreader_offset_-0.2_cut_5,0
0,nfl_cut_7_00,0
0,newsreader_offset_-0.1_cut_5,1
0,tennis_offset_-0.6_cut_24,14
0,soccer_offset_-0.8_cut_2_25,12
0,nfl_offset_-0.8_cut_7_00,3
0,nfl_offset_0.8_cut_7_00,2
0,soccer_offset_-2.5_cut_2_25,71
0,nfl_offset_0.6_cut_7_00,20
0,newsreader_offset_0.2_cut_5,10
0,soccer_cut_2_25,12
0,cricket_offset_-1_cut_3_45,41
0,newsreader_offset_-0.05_cut_5,0
0,soccer_offset_0.8_cut_2_25,4
0,tennis_offset_0.2_cut_24,0
0,cricket_offset_1_cut_3_45,22
0,cricket_cut_3_45,0
0,newsreader_offset_0.4_cut_5,60
0,cricket_offset_-0.8_cut_3_45,49
0,soccer_offset_-0.2_cut_2_25,11
0,tennis_offset_-1.5_cut_24,37
0,cricket_offset_0.4_cut_3_45,21
0,tennis_offset_-1_cut_24,3
0,soccer_offset_0.4_cut_2_25,12
0,newsreader_offset_0.1_cut_5,0
0,nfl_offset_-1.5_cut_7_00,5
0,soccer_offset_2.5_cut_2_25,88
0,cricket_offset_-0.4_cut_3_45,57
0,newsreader_offset_0.05_cut_5,3
0,nfl_offset_-0.6_cut_7_00,4
0,tennis_offset_-0.2_cut_24,49
0,nfl_offset_1.5_cut_7_00,55
0,tennis_offset_1.5_cut_24,87
0,cricket_offset_0.2_cut_3_45,24
0,soccer_offset_-0.4_cut_2_25,2
0,newsreader_offset_-0.4_cut_5,1
0,tennis_offset_1_cut_24,84
0,cricket_offset_-0.2_cut_3_45,57
0,nfl_offset_0.2_cut_7_00,3
0,cricket_offset_0.8_cut_3_45,75
0,tennis_offset_0.6_cut_24,30
0,nfl_offset_-0.2_cut_7_00,6
0,tennis_cut_24,18
0,newsreader_cut_5,5
