,0,1
0,soccer_offset_0.8_cut_2_25,33
0,newsreader_offset_-0.05_cut_5,4
0,soccer_offset_-0.2_cut_2_25,28
0,nfl_offset_-1.5_cut_7_00,11
0,soccer_cut_2_25,38
0,tennis_offset_0.6_cut_24,72
0,cricket_offset_0.8_cut_3_45,36
0,soccer_offset_-0.4_cut_2_25,40
0,soccer_offset_-2.5_cut_2_25,98
0,cricket_offset_1_cut_3_45,97
0,soccer_offset_2.5_cut_2_25,99
0,tennis_offset_0.2_cut_24,4
0,newsreader_offset_0.4_cut_5,87
0,nfl_offset_0.2_cut_7_00,13
0,newsreader_offset_0.05_cut_5,10
0,nfl_offset_-0.8_cut_7_00,69
0,newsreader_offset_-0.2_cut_5,4
0,nfl_offset_1.5_cut_7_00,38
0,newsreader_cut_5,9
0,nfl_cut_7_00,4
0,soccer_offset_0.2_cut_2_25,89
0,nfl_offset_-0.6_cut_7_00,90
0,tennis_offset_1_cut_24,63
0,cricket_offset_-0.4_cut_3_45,59
0,tennis_offset_-0.2_cut_24,36
0,cricket_offset_-0.8_cut_3_45,92
0,tennis_offset_-1.5_cut_24,96
0,tennis_offset_1.5_cut_24,75
0,cricket_offset_-1_cut_3_45,91
0,tennis_offset_-0.6_cut_24,93
0,soccer_offset_-0.8_cut_2_25,86
0,tennis_cut_24,26
0,cricket_offset_0.2_cut_3_45,33
0,newsreader_offset_-0.1_cut_5,2
0,cricket_offset_-0.2_cut_3_45,6
0,newsreader_offset_0.1_cut_5,39
0,cricket_cut_3_45,42
0,newsreader_offset_-0.4_cut_5,88
0,nfl_offset_0.6_cut_7_00,67
0,tennis_offset_-1_cut_24,5
0,newsreader_offset_0.2_cut_5,74
0,cricket_offset_0.4_cut_3_45,91
0,nfl_offset_-0.2_cut_7_00,17
0,soccer_offset_0.4_cut_2_25,36
0,nfl_offset_0.8_cut_7_00,69
