,0,1
0,cricket_offset_-1_cut_3_45,70
0,soccer_offset_0.4_cut_2_25,19
0,tennis_offset_0.6_cut_24,29
0,cricket_offset_0.2_cut_3_45,5
0,soccer_offset_-0.2_cut_2_25,11
0,nfl_offset_1.5_cut_7_00,73
0,soccer_cut_2_25,4
0,tennis_offset_0.2_cut_24,3
0,nfl_cut_7_00,3
0,soccer_offset_-2.5_cut_2_25,76
0,cricket_offset_0.4_cut_3_45,30
0,tennis_offset_1_cut_24,66
0,newsreader_cut_5,2
0,cricket_offset_-0.2_cut_3_45,12
0,cricket_offset_-0.8_cut_3_45,54
0,soccer_offset_-0.8_cut_2_25,20
0,cricket_offset_0.8_cut_3_45,72
0,soccer_offset_-0.4_cut_2_25,11
0,cricket_offset_1_cut_3_45,36
0,soccer_offset_0.8_cut_2_25,41
0,nfl_offset_0.6_cut_7_00,35
0,newsreader_offset_-0.2_cut_5,3
0,newsreader_offset_-0.05_cut_5,3
0,cricket_cut_3_45,5
0,newsreader_offset_0.1_cut_5,23
0,cricket_offset_-0.4_cut_3_45,25
0,newsreader_offset_0.4_cut_5,65
0,tennis_offset_-0.6_cut_24,42
0,nfl_offset_-1.5_cut_7_00,61
0,tennis_offset_1.5_cut_24,61
0,nfl_offset_-0.2_cut_7_00,12
0,tennis_offset_-1_cut_24,5
0,newsreader_offset_0.2_cut_5,34
0,soccer_offset_2.5_cut_2_25,87
0,tennis_offset_-0.2_cut_24,25
0,newsreader_offset_-0.1_cut_5,6
0,tennis_offset_-1.5_cut_24,38
0,soccer_offset_0.2_cut_2_25,8
0,newsreader_offset_0.05_cut_5,13
0,nfl_offset_0.8_cut_7_00,65
0,nfl_offset_-0.6_cut_7_00,57
0,newsreader_offset_-0.4_cut_5,35
0,nfl_offset_-0.8_cut_7_00,26
0,tennis_cut_24,5
0,nfl_offset_0.2_cut_7_00,17
