,0,1
0,newsreader_offset_0.2_cut_5,29
0,nfl_cut_7_00,0
0,tennis_offset_0.6_cut_24,71
0,cricket_offset_-0.2_cut_3_45,2
0,nfl_offset_1.5_cut_7_00,22
0,newsreader_offset_0.1_cut_5,1
0,nfl_offset_-0.6_cut_7_00,9
0,soccer_offset_-2.5_cut_2_25,100
0,nfl_offset_-1.5_cut_7_00,55
0,soccer_cut_2_25,0
0,cricket_offset_0.8_cut_3_45,65
0,soccer_offset_-0.8_cut_2_25,32
0,cricket_cut_3_45,0
0,tennis_offset_0.2_cut_24,0
0,newsreader_cut_5,0
0,nfl_offset_0.6_cut_7_00,67
0,tennis_cut_24,12
0,newsreader_offset_-0.1_cut_5,3
0,tennis_offset_-0.2_cut_24,57
0,cricket_offset_0.2_cut_3_45,38
0,tennis_offset_-1.5_cut_24,90
0,cricket_offset_-0.4_cut_3_45,34
0,tennis_offset_-0.6_cut_24,86
0,newsreader_offset_-0.4_cut_5,53
0,soccer_offset_0.8_cut_2_25,69
0,soccer_offset_-0.4_cut_2_25,0
0,soccer_offset_-0.2_cut_2_25,14
0,tennis_offset_-1_cut_24,0
0,soccer_offset_0.2_cut_2_25,45
0,cricket_offset_-1_cut_3_45,100
0,tennis_offset_1_cut_24,100
0,cricket_offset_1_cut_3_45,98
0,nfl_offset_0.2_cut_7_00,48
0,cricket_offset_0.4_cut_3_45,19
0,newsreader_offset_-0.2_cut_5,0
0,nfl_offset_-0.2_cut_7_00,0
0,soccer_offset_2.5_cut_2_25,100
0,newsreader_offset_0.4_cut_5,100
0,nfl_offset_0.8_cut_7_00,78
0,cricket_offset_-0.8_cut_3_45,100
0,nfl_offset_-0.8_cut_7_00,52
0,soccer_offset_0.4_cut_2_25,69
0,tennis_offset_1.5_cut_24,0
0,newsreader_offset_0.05_cut_5,24
0,newsreader_offset_-0.05_cut_5,0
