,0,1
0,tennis_offset_1.5_cut_24,71
0,cricket_cut_3_45,2
0,tennis_offset_-0.6_cut_24,70
0,nfl_offset_1.5_cut_7_00,44
0,cricket_offset_0.2_cut_3_45,63
0,soccer_offset_-0.8_cut_2_25,31
0,tennis_offset_-1_cut_24,4
0,soccer_cut_2_25,2
0,tennis_offset_1_cut_24,54
0,cricket_offset_-1_cut_3_45,97
0,nfl_offset_0.8_cut_7_00,51
0,cricket_offset_0.4_cut_3_45,80
0,nfl_offset_0.2_cut_7_00,47
0,cricket_offset_1_cut_3_45,99
0,newsreader_offset_-0.1_cut_5,0
0,soccer_offset_-0.2_cut_2_25,20
0,newsreader_offset_0.1_cut_5,13
0,nfl_offset_-1.5_cut_7_00,78
0,nfl_offset_-0.6_cut_7_00,73
0,cricket_offset_0.8_cut_3_45,73
0,nfl_cut_7_00,4
0,newsreader_cut_5,6
0,tennis_offset_0.6_cut_24,27
0,nfl_offset_0.6_cut_7_00,51
0,tennis_cut_24,32
0,soccer_offset_-2.5_cut_2_25,66
0,newsreader_offset_-0.05_cut_5,22
0,newsreader_offset_0.2_cut_5,47
0,cricket_offset_-0.4_cut_3_45,51
0,newsreader_offset_0.05_cut_5,54
0,tennis_offset_0.2_cut_24,15
0,tennis_offset_-0.2_cut_24,55
0,soccer_offset_0.4_cut_2_25,41
0,tennis_offset_-1.5_cut_24,78
0,cricket_offset_-0.2_cut_3_45,66
0,soccer_offset_2.5_cut_2_25,91
0,cricket_offset_-0.8_cut_3_45,85
0,soccer_offset_-0.4_cut_2_25,71
0,newsreader_offset_-0.2_cut_5,25
0,soccer_offset_0.8_cut_2_25,50
0,nfl_offset_-0.8_cut_7_00,70
0,newsreader_offset_0.4_cut_5,71
0,soccer_offset_0.2_cut_2_25,46
0,nfl_offset_-0.2_cut_7_00,29
0,newsreader_offset_-0.4_cut_5,97
