,0,1
0,tennis_cut_24,21
0,nfl_offset_1.5_cut_7_00,19
0,newsreader_offset_0.1_cut_5,26
0,nfl_offset_0.2_cut_7_00,39
0,tennis_offset_0.6_cut_24,47
0,newsreader_offset_0.2_cut_5,29
0,soccer_offset_-0.4_cut_2_25,47
0,newsreader_offset_-0.4_cut_5,28
0,nfl_cut_7_00,52
0,newsreader_offset_-0.05_cut_5,16
0,tennis_offset_1.5_cut_24,46
0,cricket_offset_-0.4_cut_3_45,60
0,nfl_offset_-0.2_cut_7_00,55
0,cricket_offset_-0.8_cut_3_45,59
0,tennis_offset_-1_cut_24,54
0,soccer_offset_-0.8_cut_2_25,64
0,tennis_offset_1_cut_24,56
0,newsreader_offset_0.4_cut_5,49
0,nfl_offset_0.8_cut_7_00,57
0,tennis_offset_-0.6_cut_24,52
0,nfl_offset_-0.8_cut_7_00,53
0,cricket_offset_-0.2_cut_3_45,57
0,soccer_offset_-2.5_cut_2_25,73
0,cricket_offset_0.2_cut_3_45,64
0,tennis_offset_-0.2_cut_24,60
0,newsreader_offset_0.05_cut_5,66
0,nfl_offset_-1.5_cut_7_00,61
0,soccer_cut_2_25,53
0,newsreader_cut_5,23
0,nfl_offset_0.6_cut_7_00,62
0,tennis_offset_0.2_cut_24,68
0,cricket_offset_-1_cut_3_45,90
0,newsreader_offset_-0.2_cut_5,30
0,soccer_offset_0.8_cut_2_25,74
0,cricket_offset_1_cut_3_45,94
0,soccer_offset_0.4_cut_2_25,79
0,nfl_offset_-0.6_cut_7_00,68
0,cricket_offset_0.4_cut_3_45,81
0,newsreader_offset_-0.1_cut_5,33
0,cricket_offset_0.8_cut_3_45,92
0,soccer_offset_0.2_cut_2_25,82
0,cricket_cut_3_45,52
0,soccer_offset_-0.2_cut_2_25,60
0,tennis_offset_-1.5_cut_24,61
