,0,1
0,newsreader_offset_0.2_cut_5,57
0,nfl_offset_0.8_cut_7_00,42
0,tennis_offset_1.5_cut_24,3
0,newsreader_offset_0.1_cut_5,4
0,cricket_offset_0.4_cut_3_45,5
0,newsreader_cut_5,0
0,nfl_offset_0.6_cut_7_00,25
0,soccer_offset_-2.5_cut_2_25,79
0,newsreader_offset_-0.2_cut_5,0
0,tennis_offset_-0.2_cut_24,28
0,newsreader_offset_-0.4_cut_5,23
0,tennis_offset_0.2_cut_24,1
0,nfl_cut_7_00,0
0,cricket_offset_-0.4_cut_3_45,0
0,tennis_offset_-1_cut_24,0
0,newsreader_offset_0.4_cut_5,96
0,soccer_offset_-0.2_cut_2_25,0
0,cricket_offset_-0.2_cut_3_45,3
0,nfl_offset_-0.8_cut_7_00,47
0,tennis_offset_-0.6_cut_24,56
0,cricket_cut_3_45,0
0,soccer_offset_0.4_cut_2_25,0
0,cricket_offset_-1_cut_3_45,24
0,soccer_cut_2_25,0
0,tennis_cut_24,0
0,soccer_offset_-0.8_cut_2_25,0
0,nfl_offset_-1.5_cut_7_00,64
0,tennis_offset_-1.5_cut_24,62
0,cricket_offset_0.2_cut_3_45,5
0,soccer_offset_0.8_cut_2_25,58
0,cricket_offset_-0.8_cut_3_45,75
0,soccer_offset_2.5_cut_2_25,93
0,nfl_offset_-0.6_cut_7_00,72
0,tennis_offset_1_cut_24,61
0,soccer_offset_-0.4_cut_2_25,1
0,newsreader_offset_-0.1_cut_5,0
0,cricket_offset_1_cut_3_45,79
0,nfl_offset_1.5_cut_7_00,88
0,tennis_offset_0.6_cut_24,59
0,nfl_offset_-0.2_cut_7_00,0
0,newsreader_offset_-0.05_cut_5,0
0,nfl_offset_0.2_cut_7_00,0
0,soccer_offset_0.2_cut_2_25,12
0,cricket_offset_0.8_cut_3_45,65
0,newsreader_offset_0.05_cut_5,0
