,0,1
0,soccer_offset_0.2_cut_2_25,1
0,nfl_offset_0.2_cut_7_00,5
0,soccer_offset_0.8_cut_2_25,75
0,cricket_offset_1_cut_3_45,1
0,nfl_offset_0.8_cut_7_00,21
0,cricket_offset_0.2_cut_3_45,43
0,newsreader_offset_0.05_cut_5,13
0,nfl_offset_-0.6_cut_7_00,4
0,newsreader_offset_-0.1_cut_5,20
0,tennis_offset_0.6_cut_24,45
0,cricket_offset_0.8_cut_3_45,62
0,tennis_cut_24,17
0,tennis_offset_-1.5_cut_24,55
0,cricket_offset_0.4_cut_3_45,65
0,tennis_offset_1.5_cut_24,16
0,newsreader_cut_5,12
0,nfl_offset_-0.8_cut_7_00,4
0,soccer_offset_2.5_cut_2_25,97
0,newsreader_offset_0.1_cut_5,53
0,nfl_offset_0.6_cut_7_00,4
0,tennis_offset_-1_cut_24,4
0,newsreader_offset_-0.2_cut_5,10
0,nfl_cut_7_00,2
0,tennis_offset_1_cut_24,66
0,nfl_offset_1.5_cut_7_00,33
0,cricket_cut_3_45,3
0,nfl_offset_-0.2_cut_7_00,11
0,soccer_cut_2_25,35
0,nfl_offset_-1.5_cut_7_00,50
0,newsreader_offset_-0.4_cut_5,77
0,soccer_offset_0.4_cut_2_25,9
0,tennis_offset_-0.2_cut_24,6
0,cricket_offset_-0.8_cut_3_45,72
0,tennis_offset_-0.6_cut_24,45
0,newsreader_offset_0.2_cut_5,88
0,cricket_offset_-0.2_cut_3_45,5
0,soccer_offset_-2.5_cut_2_25,98
0,newsreader_offset_0.4_cut_5,94
0,tennis_offset_0.2_cut_24,10
0,newsreader_offset_-0.05_cut_5,12
0,soccer_offset_-0.2_cut_2_25,35
0,cricket_offset_-1_cut_3_45,96
0,soccer_offset_-0.4_cut_2_25,14
0,cricket_offset_-0.4_cut_3_45,42
0,soccer_offset_-0.8_cut_2_25,63
