,0,1
0,cricket_offset_0.2_cut_3_45,34
0,newsreader_offset_-0.4_cut_5,72
0,tennis_offset_0.6_cut_24,55
0,nfl_offset_-1.5_cut_7_00,20
0,newsreader_offset_0.1_cut_5,71
0,nfl_offset_0.6_cut_7_00,32
0,tennis_offset_-1_cut_24,7
0,nfl_offset_-0.8_cut_7_00,20
0,nfl_offset_-0.2_cut_7_00,2
0,soccer_offset_-0.4_cut_2_25,5
0,nfl_offset_0.8_cut_7_00,17
0,soccer_offset_-2.5_cut_2_25,98
0,tennis_offset_-0.2_cut_24,18
0,soccer_offset_-0.2_cut_2_25,2
0,nfl_cut_7_00,2
0,cricket_offset_0.8_cut_3_45,82
0,nfl_offset_-0.6_cut_7_00,32
0,cricket_offset_1_cut_3_45,66
0,nfl_offset_0.2_cut_7_00,38
0,cricket_offset_-0.4_cut_3_45,47
0,tennis_offset_1.5_cut_24,17
0,cricket_offset_-1_cut_3_45,91
0,tennis_offset_1_cut_24,49
0,newsreader_offset_0.2_cut_5,94
0,newsreader_offset_0.05_cut_5,15
0,cricket_offset_-0.8_cut_3_45,71
0,newsreader_offset_-0.05_cut_5,3
0,cricket_offset_0.4_cut_3_45,35
0,newsreader_cut_5,32
0,cricket_offset_-0.2_cut_3_45,21
0,tennis_offset_0.2_cut_24,4
0,soccer_offset_0.4_cut_2_25,69
0,soccer_offset_0.8_cut_2_25,83
0,tennis_offset_-0.6_cut_24,67
0,soccer_offset_2.5_cut_2_25,100
0,newsreader_offset_-0.2_cut_5,40
0,tennis_offset_-1.5_cut_24,70
0,nfl_offset_1.5_cut_7_00,87
0,newsreader_offset_-0.1_cut_5,4
0,soccer_offset_-0.8_cut_2_25,67
0,cricket_cut_3_45,7
0,soccer_offset_0.2_cut_2_25,57
0,newsreader_offset_0.4_cut_5,96
0,soccer_cut_2_25,27
0,tennis_cut_24,10
