,0,1
0,nfl_offset_-0.2_cut_7_00,0
0,newsreader_offset_-0.05_cut_5,0
0,soccer_offset_0.2_cut_2_25,0
0,newsreader_offset_0.05_cut_5,5
0,tennis_offset_0.2_cut_24,0
0,newsreader_offset_-0.1_cut_5,0
0,soccer_cut_2_25,10
0,tennis_offset_-1_cut_24,3
0,cricket_offset_0.8_cut_3_45,74
0,nfl_offset_-1.5_cut_7_00,5
0,tennis_cut_24,0
0,nfl_offset_-0.8_cut_7_00,30
0,tennis_offset_-0.6_cut_24,86
0,nfl_offset_0.8_cut_7_00,87
0,cricket_cut_3_45,6
0,soccer_offset_-2.5_cut_2_25,100
0,tennis_offset_1.5_cut_24,100
0,newsreader_offset_0.2_cut_5,70
0,newsreader_offset_-0.4_cut_5,98
0,tennis_offset_0.6_cut_24,60
0,newsreader_offset_0.4_cut_5,86
0,nfl_offset_0.2_cut_7_00,7
0,cricket_offset_-0.2_cut_3_45,4
0,tennis_offset_-1.5_cut_24,5
0,cricket_offset_-1_cut_3_45,59
0,cricket_offset_1_cut_3_45,83
0,tennis_offset_-0.2_cut_24,6
0,cricket_offset_-0.8_cut_3_45,88
0,newsreader_cut_5,0
0,soccer_offset_0.4_cut_2_25,53
0,nfl_offset_0.6_cut_7_00,5
0,cricket_offset_0.2_cut_3_45,20
0,nfl_cut_7_00,1
0,newsreader_offset_-0.2_cut_5,1
0,cricket_offset_0.4_cut_3_45,53
0,soccer_offset_-0.8_cut_2_25,3
0,cricket_offset_-0.4_cut_3_45,51
0,soccer_offset_-0.2_cut_2_25,0
0,nfl_offset_1.5_cut_7_00,75
0,soccer_offset_2.5_cut_2_25,100
0,tennis_offset_1_cut_24,100
0,newsreader_offset_0.1_cut_5,46
0,nfl_offset_-0.6_cut_7_00,15
0,soccer_offset_0.8_cut_2_25,52
0,soccer_offset_-0.4_cut_2_25,45
