video,score,zscore,offset,content
0,1,-1.383507334903251,0,0
tennis_offset_-1_cut_24,8,-1.1669349664837825,-1,tennis
soccer_offset_2.5_cut_2_25,79,1.0297276274851128,2.5,soccer
cricket_offset_0.4_cut_3_45,46,0.008743604936189666,0.4,cricket
tennis_offset_-1.5_cut_24,32,-0.4244011319027474,-1.5,tennis
cricket_offset_1_cut_3_45,71,0.7822163492914345,1,cricket
nfl_offset_0.8_cut_7_00,24,-0.6719124100964258,0.8,nfl
tennis_offset_0.6_cut_24,66,0.6275218004203855,0.6,tennis
newsreader_offset_-0.4_cut_5,77,0.9678498079366932,-0.4,newsreader
cricket_cut_3_45,53,0.2253159733556582,0,cricket
soccer_offset_-0.8_cut_2_25,82,1.1225443568077422,-0.8,soccer
cricket_offset_-1_cut_3_45,85,1.2153610861303714,-1,cricket
nfl_offset_0.2_cut_7_00,26,-0.6100345905480061,0.2,nfl
tennis_offset_0.2_cut_24,1,-1.383507334903251,0.2,tennis
soccer_offset_-2.5_cut_2_25,83,1.1534832665819519,-2.5,soccer
cricket_offset_0.2_cut_3_45,62,0.5037661613235463,0.2,cricket
tennis_offset_-0.2_cut_24,19,-0.8266069589674747,-0.2,tennis
soccer_offset_0.2_cut_2_25,20,-0.7956680491932648,0.2,soccer
tennis_offset_1_cut_24,20,-0.7956680491932648,1,tennis
newsreader_offset_0.05_cut_5,2,-1.352568425129041,0.05,newsreader
nfl_offset_-0.8_cut_7_00,58,0.38001052222670717,-0.8,nfl
soccer_offset_-0.2_cut_2_25,7,-1.1978738762579921,-0.2,soccer
nfl_offset_-0.2_cut_7_00,3,-1.3216295153548314,-0.2,nfl
soccer_offset_0.4_cut_2_25,9,-1.1359960567095726,0.4,soccer
nfl_cut_7_00,5,-1.2597516958064117,0,nfl
soccer_offset_0.8_cut_2_25,66,0.6275218004203855,0.8,soccer
nfl_offset_1.5_cut_7_00,89,1.3391167252272107,1.5,nfl
soccer_offset_-0.4_cut_2_25,74,0.8750330786140638,-0.4,soccer
tennis_offset_1.5_cut_24,17,-0.8884847785158942,1.5,tennis
newsreader_offset_-0.2_cut_5,0,-1.4144462446774606,-0.2,newsreader
tennis_cut_24,50,0.13249924403302882,0,tennis
cricket_offset_-0.4_cut_3_45,80,1.0606665372593225,-0.4,cricket
newsreader_offset_0.1_cut_5,8,-1.1669349664837825,0.1,newsreader
newsreader_offset_0.4_cut_5,69,0.7203385297430148,0.4,newsreader
nfl_offset_-0.6_cut_7_00,80,1.0606665372593225,-0.6,nfl
newsreader_offset_0.2_cut_5,28,-0.5481567709995866,0.2,newsreader
soccer_cut_2_25,88,1.3081778154530008,0,soccer
newsreader_offset_-0.05_cut_5,10,-1.1050571469353627,-0.05,newsreader
nfl_offset_0.6_cut_7_00,56,0.3181327026782876,0.6,nfl
newsreader_cut_5,55,0.28719379290407776,0,newsreader
tennis_offset_-0.6_cut_24,72,0.8131552590656442,-0.6,tennis
cricket_offset_-0.8_cut_3_45,89,1.3391167252272107,-0.8,cricket
newsreader_offset_-0.1_cut_5,0,-1.4144462446774606,-0.1,newsreader
cricket_offset_-0.2_cut_3_45,55,0.28719379290407776,-0.2,cricket
nfl_offset_-1.5_cut_7_00,92,1.4319334545498401,-1.5,nfl
cricket_offset_0.8_cut_3_45,86,1.2462999959045813,0.8,cricket
