video,score,zscore,offset,content
cricket_offset_-0.2_cut_3_45,6,-0.8326219149428497,-0.2,cricket
soccer_offset_-0.2_cut_2_25,3,-0.9254343739590962,-0.2,soccer
nfl_offset_1.5_cut_7_00,10,-0.7088719695878541,1.5,nfl
cricket_cut_3_45,0,-1.0182468329753427,0,cricket
nfl_offset_-1.5_cut_7_00,4,-0.8944968876203473,-1.5,nfl
soccer_cut_2_25,0,-1.0182468329753427,0,soccer
cricket_offset_-0.4_cut_3_45,44,0.343002565929607,-0.4,cricket
nfl_offset_-0.6_cut_7_00,34,0.03362770254211839,-0.6,nfl
tennis_offset_-1_cut_24,1,-0.9873093466365939,-1,tennis
soccer_offset_-0.4_cut_2_25,20,-0.3994971062003656,-0.4,soccer
tennis_offset_-1.5_cut_24,59,0.8070648610108399,-1.5,tennis
newsreader_offset_-0.2_cut_5,38,0.1573776478971138,-0.2,newsreader
tennis_offset_-0.6_cut_24,38,0.1573776478971138,-0.6,tennis
cricket_offset_1_cut_3_45,84,1.5805020194795611,1,cricket
tennis_offset_1_cut_24,21,-0.3685596198616168,1,tennis
newsreader_offset_-0.1_cut_5,1,-0.9873093466365939,-0.1,newsreader
soccer_offset_0.8_cut_2_25,76,1.3330021287695704,0.8,soccer
newsreader_offset_0.1_cut_5,63,0.9308148063658352,0.1,newsreader
nfl_offset_-0.8_cut_7_00,50,0.5286274839621001,-0.8,nfl
cricket_offset_-1_cut_3_45,91,1.7970644238508033,-1,cricket
tennis_offset_1.5_cut_24,20,-0.3994971062003656,1.5,tennis
soccer_offset_-0.8_cut_2_25,56,0.7142524019945933,-0.8,soccer
tennis_cut_24,5,-0.8635594012815985,0,tennis
newsreader_cut_5,1,-0.9873093466365939,0,newsreader
soccer_offset_0.2_cut_2_25,6,-0.8326219149428497,0.2,soccer
nfl_offset_0.8_cut_7_00,12,-0.6469969969103565,0.8,nfl
cricket_offset_0.8_cut_3_45,91,1.7970644238508033,0.8,cricket
soccer_offset_2.5_cut_2_25,97,1.9826893418832963,2.5,soccer
cricket_offset_0.4_cut_3_45,75,1.3020646424308215,0.4,cricket
newsreader_offset_-0.05_cut_5,3,-0.9254343739590962,-0.05,newsreader
nfl_offset_-0.2_cut_7_00,7,-0.8016844286041007,-0.2,nfl
newsreader_offset_-0.4_cut_5,71,1.178314697075826,-0.4,newsreader
soccer_offset_0.4_cut_2_25,58,0.7761273746720909,0.4,soccer
newsreader_offset_0.05_cut_5,5,-0.8635594012815985,0.05,newsreader
tennis_offset_-0.2_cut_24,20,-0.3994971062003656,-0.2,tennis
cricket_offset_-0.8_cut_3_45,78,1.3948771014470682,-0.8,cricket
newsreader_offset_0.4_cut_5,91,1.7970644238508033,0.4,newsreader
cricket_offset_0.2_cut_3_45,12,-0.6469969969103565,0.2,cricket
nfl_cut_7_00,2,-0.956371860297845,0,nfl
tennis_offset_0.2_cut_24,2,-0.956371860297845,0.2,tennis
nfl_offset_0.6_cut_7_00,9,-0.7398094559266031,0.6,nfl
tennis_offset_0.6_cut_24,18,-0.4613720788778633,0.6,tennis
nfl_offset_0.2_cut_7_00,13,-0.6160595105716076,0.2,nfl
soccer_offset_-2.5_cut_2_25,79,1.425814587785817,-2.5,soccer
newsreader_offset_0.2_cut_5,39,0.18831513423586269,0.2,newsreader
