video,score,zscore,offset,content
0,1,-0.7521230109914364,0,0
newsreader_offset_0.2_cut_5,9,-0.4347132999308302,0.2,newsreader
nfl_offset_0.8_cut_7_00,0,-0.7917992248740122,0.8,nfl
tennis_offset_1.5_cut_24,9,-0.4347132999308302,1.5,tennis
newsreader_offset_0.1_cut_5,1,-0.7521230109914364,0.1,newsreader
cricket_offset_0.4_cut_3_45,26,0.23978233607295799,0.4,cricket
newsreader_cut_5,0,-0.7917992248740122,0,newsreader
nfl_offset_0.6_cut_7_00,17,-0.11730358887022399,0.6,nfl
soccer_offset_-2.5_cut_2_25,67,1.8665071052585647,-2.5,soccer
newsreader_offset_-0.2_cut_5,0,-0.7917992248740122,-0.2,newsreader
tennis_offset_-0.2_cut_24,2,-0.7124467971088606,-0.2,tennis
newsreader_offset_-0.4_cut_5,29,0.3588109777206853,-0.4,newsreader
tennis_offset_0.2_cut_24,0,-0.7917992248740122,0.2,tennis
nfl_cut_7_00,0,-0.7917992248740122,0,nfl
cricket_offset_-0.4_cut_3_45,31,0.4381634054858369,-0.4,cricket
tennis_offset_-1_cut_24,12,-0.3156846582831029,-1,tennis
newsreader_offset_0.4_cut_5,66,1.8268308913759888,0.4,newsreader
soccer_offset_-0.2_cut_2_25,1,-0.7521230109914364,-0.2,soccer
cricket_offset_-0.2_cut_3_45,4,-0.6330943693437091,-0.2,cricket
nfl_offset_-0.8_cut_7_00,29,0.3588109777206853,-0.8,nfl
tennis_offset_-0.6_cut_24,67,1.8665071052585647,-0.6,tennis
cricket_cut_3_45,1,-0.7521230109914364,0,cricket
soccer_offset_0.4_cut_2_25,0,-0.7917992248740122,0.4,soccer
cricket_offset_-1_cut_3_45,70,1.985535746906292,-1,cricket
soccer_cut_2_25,0,-0.7917992248740122,0,soccer
tennis_cut_24,0,-0.7917992248740122,0,tennis
soccer_offset_-0.8_cut_2_25,0,-0.7917992248740122,-0.8,soccer
nfl_offset_-1.5_cut_7_00,58,1.5094211803153827,-1.5,nfl
tennis_offset_-1.5_cut_24,39,0.7555731165464431,-1.5,tennis
cricket_offset_0.2_cut_3_45,4,-0.6330943693437091,0.2,cricket
soccer_offset_0.8_cut_2_25,27,0.27945854995553376,0.8,soccer
cricket_offset_-0.8_cut_3_45,58,1.5094211803153827,-0.8,cricket
soccer_offset_2.5_cut_2_25,91,2.8187362384403833,2.5,soccer
nfl_offset_-0.6_cut_7_00,28,0.3191347638381095,-0.6,nfl
tennis_offset_1_cut_24,11,-0.35536087216567863,1,tennis
soccer_offset_-0.4_cut_2_25,1,-0.7521230109914364,-0.4,soccer
newsreader_offset_-0.1_cut_5,0,-0.7917992248740122,-0.1,newsreader
cricket_offset_1_cut_3_45,46,1.0333066137244735,1,cricket
nfl_offset_1.5_cut_7_00,47,1.0729828276070492,1.5,nfl
tennis_offset_0.6_cut_24,38,0.7158969026638673,0.6,tennis
nfl_offset_-0.2_cut_7_00,0,-0.7917992248740122,-0.2,nfl
newsreader_offset_-0.05_cut_5,0,-0.7917992248740122,-0.05,newsreader
nfl_offset_0.2_cut_7_00,0,-0.7917992248740122,0.2,nfl
soccer_offset_0.2_cut_2_25,0,-0.7917992248740122,0.2,soccer
cricket_offset_0.8_cut_3_45,28,0.3191347638381095,0.8,cricket
newsreader_offset_0.05_cut_5,0,-0.7917992248740122,0.05,newsreader
