video,score,zscore,offset,content
0,1,-1.065971850330963,0,0
soccer_offset_0.2_cut_2_25,1,-1.065971850330963,0.2,soccer
nfl_offset_0.2_cut_7_00,5,-0.9392671859505385,0.2,nfl
soccer_offset_0.8_cut_2_25,75,1.278064440706891,0.8,soccer
cricket_offset_1_cut_3_45,1,-1.065971850330963,1,cricket
nfl_offset_0.8_cut_7_00,21,-0.43244852842884024,0.8,nfl
cricket_offset_0.2_cut_3_45,43,0.26442712566349474,0.2,cricket
newsreader_offset_0.05_cut_5,13,-0.6858578571896894,0.05,newsreader
nfl_offset_-0.6_cut_7_00,4,-0.9709433520456446,-0.6,nfl
newsreader_offset_-0.1_cut_5,20,-0.4641246945239464,-0.1,newsreader
tennis_offset_0.6_cut_24,45,0.32777945785370705,0.6,tennis
cricket_offset_0.8_cut_3_45,62,0.8662742814705113,0.8,cricket
tennis_cut_24,17,-0.5591531928092648,0,tennis
tennis_offset_-1.5_cut_24,55,0.6445411188047684,-1.5,tennis
cricket_offset_0.4_cut_3_45,65,0.9613027797558298,0.4,cricket
tennis_offset_1.5_cut_24,16,-0.5908293589043709,1.5,tennis
newsreader_cut_5,12,-0.7175340232847955,0,newsreader
nfl_offset_-0.8_cut_7_00,4,-0.9709433520456446,-0.8,nfl
soccer_offset_2.5_cut_2_25,97,1.9749400947992262,2.5,soccer
newsreader_offset_0.1_cut_5,53,0.5811887866145561,0.1,newsreader
nfl_offset_0.6_cut_7_00,4,-0.9709433520456446,0.6,nfl
tennis_offset_-1_cut_24,4,-0.9709433520456446,-1,tennis
newsreader_offset_-0.2_cut_5,10,-0.7808863554750077,-0.2,newsreader
nfl_cut_7_00,2,-1.0342956842358568,0,nfl
tennis_offset_1_cut_24,66,0.9929789458509359,1,tennis
nfl_offset_1.5_cut_7_00,33,-0.05233453528756661,1.5,nfl
cricket_cut_3_45,3,-1.0026195181407507,0,cricket
nfl_offset_-0.2_cut_7_00,11,-0.7492101893799016,-0.2,nfl
soccer_cut_2_25,35,0.011017796902645661,0,soccer
nfl_offset_-1.5_cut_7_00,50,0.48616028832923774,-1.5,nfl
newsreader_offset_-0.4_cut_5,77,1.3414167728971034,-0.4,newsreader
soccer_offset_0.4_cut_2_25,9,-0.8125625215701139,0.4,soccer
tennis_offset_-0.2_cut_24,6,-0.9075910198554323,-0.2,tennis
cricket_offset_-0.8_cut_3_45,72,1.1830359424215728,-0.8,cricket
tennis_offset_-0.6_cut_24,45,0.32777945785370705,-0.6,tennis
newsreader_offset_0.2_cut_5,88,1.689854599943271,0.2,newsreader
cricket_offset_-0.2_cut_3_45,5,-0.9392671859505385,-0.2,cricket
soccer_offset_-2.5_cut_2_25,98,2.006616260894332,-2.5,soccer
newsreader_offset_0.4_cut_5,94,1.8799115965139077,0.4,newsreader
tennis_offset_0.2_cut_24,10,-0.7808863554750077,0.2,tennis
newsreader_offset_-0.05_cut_5,12,-0.7175340232847955,-0.05,newsreader
soccer_offset_-0.2_cut_2_25,35,0.011017796902645661,-0.2,soccer
cricket_offset_-1_cut_3_45,96,1.94326392870412,-1,cricket
soccer_offset_-0.4_cut_2_25,14,-0.6541816910945832,-0.4,soccer
cricket_offset_-0.4_cut_3_45,42,0.23275095956838862,-0.4,cricket
soccer_offset_-0.8_cut_2_25,63,0.8979504475656175,-0.8,soccer
