video,score,zscore,offset,content
0,1,-0.803894227812394,0,0
soccer_offset_0.2_cut_2_25,0,-0.840398802816708,0.2,soccer
newsreader_offset_-0.2_cut_5,0,-0.840398802816708,-0.2,newsreader
nfl_cut_7_00,0,-0.840398802816708,0,nfl
newsreader_offset_-0.1_cut_5,1,-0.803894227812394,-0.1,newsreader
tennis_offset_-0.6_cut_24,14,-0.3293347527563114,-0.6,tennis
soccer_offset_-0.8_cut_2_25,12,-0.4023439027649395,-0.8,soccer
nfl_offset_-0.8_cut_7_00,3,-0.7308850778037659,-0.8,nfl
nfl_offset_0.8_cut_7_00,2,-0.7673896528080799,0.8,nfl
soccer_offset_-2.5_cut_2_25,71,1.751426022489589,-2.5,soccer
nfl_offset_0.6_cut_7_00,20,-0.11030730273042717,0.6,nfl
newsreader_offset_0.2_cut_5,10,-0.4753530527735676,0.2,newsreader
soccer_cut_2_25,12,-0.4023439027649395,0,soccer
cricket_offset_-1_cut_3_45,41,0.6562887723601677,-1,cricket
newsreader_offset_-0.05_cut_5,0,-0.840398802816708,-0.05,newsreader
soccer_offset_0.8_cut_2_25,4,-0.6943805027994518,0.8,soccer
tennis_offset_0.2_cut_24,0,-0.840398802816708,0.2,tennis
cricket_offset_1_cut_3_45,22,-0.03729815272179909,1,cricket
cricket_cut_3_45,0,-0.840398802816708,0,cricket
newsreader_offset_0.4_cut_5,60,1.3498756974421344,0.4,newsreader
cricket_offset_-0.8_cut_3_45,49,0.9483253723946801,-0.8,cricket
soccer_offset_-0.2_cut_2_25,11,-0.43884847776925356,-0.2,soccer
tennis_offset_-1.5_cut_24,37,0.5102704723429116,-1.5,tennis
cricket_offset_0.4_cut_3_45,21,-0.07380272772611313,0.4,cricket
tennis_offset_-1_cut_24,3,-0.7308850778037659,-1,tennis
soccer_offset_0.4_cut_2_25,12,-0.4023439027649395,0.4,soccer
newsreader_offset_0.1_cut_5,0,-0.840398802816708,0.1,newsreader
nfl_offset_-1.5_cut_7_00,5,-0.6578759277951378,-1.5,nfl
soccer_offset_2.5_cut_2_25,88,2.3720037975629276,2.5,soccer
cricket_offset_-0.4_cut_3_45,57,1.2403619724291923,-0.4,cricket
newsreader_offset_0.05_cut_5,3,-0.7308850778037659,0.05,newsreader
nfl_offset_-0.6_cut_7_00,4,-0.6943805027994518,-0.6,nfl
tennis_offset_-0.2_cut_24,49,0.9483253723946801,-0.2,tennis
nfl_offset_1.5_cut_7_00,55,1.1673528224205643,1.5,nfl
tennis_offset_1.5_cut_24,87,2.3354992225586138,1.5,tennis
cricket_offset_0.2_cut_3_45,24,0.035710997286829,0.2,cricket
soccer_offset_-0.4_cut_2_25,2,-0.7673896528080799,-0.4,soccer
newsreader_offset_-0.4_cut_5,1,-0.803894227812394,-0.4,newsreader
tennis_offset_1_cut_24,84,2.2259854975456714,1,tennis
cricket_offset_-0.2_cut_3_45,57,1.2403619724291923,-0.2,cricket
nfl_offset_0.2_cut_7_00,3,-0.7308850778037659,0.2,nfl
cricket_offset_0.8_cut_3_45,75,1.8974443225068451,0.8,cricket
tennis_offset_0.6_cut_24,30,0.2547384473127132,0.6,tennis
nfl_offset_-0.2_cut_7_00,6,-0.6213713527908238,-0.2,nfl
tennis_cut_24,18,-0.18331645273905525,0,tennis
newsreader_cut_5,5,-0.6578759277951378,0,newsreader
