video,score,zscore,offset,content
cricket_offset_-1_cut_3_45,70,1.5658566925945685,-1,cricket
soccer_offset_0.4_cut_2_25,19,-0.44591756853733605,0.4,soccer
tennis_offset_0.6_cut_24,29,-0.051452027138923405,0.6,tennis
cricket_offset_0.2_cut_3_45,5,-0.9981693264951138,0.2,cricket
soccer_offset_-0.2_cut_2_25,11,-0.7614900016560662,-0.2,soccer
nfl_offset_1.5_cut_7_00,73,1.6841963550140924,1.5,nfl
soccer_cut_2_25,4,-1.037615880634955,0,soccer
tennis_offset_0.2_cut_24,3,-1.0770624347747964,0.2,tennis
nfl_cut_7_00,3,-1.0770624347747964,0,nfl
soccer_offset_-2.5_cut_2_25,76,1.8025360174336162,-2.5,soccer
cricket_offset_0.4_cut_3_45,30,-0.012005472999082143,0.4,cricket
tennis_offset_1_cut_24,66,1.4080704760352034,1,tennis
newsreader_cut_5,2,-1.1165089889146376,0,newsreader
cricket_offset_-0.2_cut_3_45,12,-0.722043447516225,-0.2,cricket
cricket_offset_-0.8_cut_3_45,54,0.9347118263571083,-0.8,cricket
soccer_offset_-0.8_cut_2_25,20,-0.4064710143974948,-0.8,soccer
cricket_offset_0.8_cut_3_45,72,1.6447498008742512,0.8,cricket
soccer_offset_-0.4_cut_2_25,11,-0.7614900016560662,-0.4,soccer
cricket_offset_1_cut_3_45,36,0.22467385183996544,1,cricket
soccer_offset_0.8_cut_2_25,41,0.42190662253917177,0.8,soccer
nfl_offset_0.6_cut_7_00,35,0.1852272977001242,0.6,nfl
newsreader_offset_-0.2_cut_5,3,-1.0770624347747964,-0.2,newsreader
newsreader_offset_-0.05_cut_5,3,-1.0770624347747964,-0.05,newsreader
cricket_cut_3_45,5,-0.9981693264951138,0,cricket
newsreader_offset_0.1_cut_5,23,-0.288131351977971,0.1,newsreader
cricket_offset_-0.4_cut_3_45,25,-0.20923824369828847,-0.4,cricket
newsreader_offset_0.4_cut_5,65,1.3686239218953622,0.4,newsreader
tennis_offset_-0.6_cut_24,42,0.46135317667901304,-0.6,tennis
nfl_offset_-1.5_cut_7_00,61,1.210837705335997,-1.5,nfl
tennis_offset_1.5_cut_24,61,1.210837705335997,1.5,tennis
nfl_offset_-0.2_cut_7_00,12,-0.722043447516225,-0.2,nfl
tennis_offset_-1_cut_24,5,-0.9981693264951138,-1,tennis
newsreader_offset_0.2_cut_5,34,0.14578074356028292,0.2,newsreader
soccer_offset_2.5_cut_2_25,87,2.2364481129718703,2.5,soccer
tennis_offset_-0.2_cut_24,25,-0.20923824369828847,-0.2,tennis
newsreader_offset_-0.1_cut_5,6,-0.9587227723552725,-0.1,newsreader
tennis_offset_-1.5_cut_24,38,0.30356696011964796,-1.5,tennis
soccer_offset_0.2_cut_2_25,8,-0.8798296640755899,0.2,soccer
newsreader_offset_0.05_cut_5,13,-0.6825968933763836,0.05,newsreader
nfl_offset_0.8_cut_7_00,65,1.3686239218953622,0.8,nfl
nfl_offset_-0.6_cut_7_00,57,1.053051488776632,-0.6,nfl
newsreader_offset_-0.4_cut_5,35,0.1852272977001242,-0.4,newsreader
nfl_offset_-0.8_cut_7_00,26,-0.1697916895584472,-0.8,nfl
tennis_cut_24,5,-0.9981693264951138,0,tennis
nfl_offset_0.2_cut_7_00,17,-0.5248106768170185,0.2,nfl
