video,score,zscore,offset,content
0,1,-0.8209927990450525,0,0
newsreader_offset_0.2_cut_5,57,0.8818070804557971,0.2,newsreader
nfl_offset_0.8_cut_7_00,42,0.4256999698752124,0.8,nfl
tennis_offset_1.5_cut_24,3,-0.7601785176343079,1.5,tennis
newsreader_offset_0.1_cut_5,4,-0.7297713769289356,0.1,newsreader
cricket_offset_0.4_cut_3_45,5,-0.6993642362235633,0.4,cricket
newsreader_cut_5,0,-0.8513999397504248,0,newsreader
nfl_offset_0.6_cut_7_00,25,-0.09122142211611695,0.6,nfl
soccer_offset_-2.5_cut_2_25,79,1.550764175973988,-2.5,soccer
newsreader_offset_-0.2_cut_5,0,-0.8513999397504248,-0.2,newsreader
tennis_offset_-0.2_cut_24,28,0.0,-0.2,tennis
newsreader_offset_-0.4_cut_5,23,-0.15203570352686158,-0.4,newsreader
tennis_offset_0.2_cut_24,1,-0.8209927990450525,0.2,tennis
nfl_cut_7_00,0,-0.8513999397504248,0,nfl
cricket_offset_-0.4_cut_3_45,0,-0.8513999397504248,-0.4,cricket
tennis_offset_-1_cut_24,0,-0.8513999397504248,-1,tennis
newsreader_offset_0.4_cut_5,96,2.0676855679653174,0.4,newsreader
soccer_offset_-0.2_cut_2_25,0,-0.8513999397504248,-0.2,soccer
cricket_offset_-0.2_cut_3_45,3,-0.7601785176343079,-0.2,cricket
nfl_offset_-0.8_cut_7_00,47,0.577735673402074,-0.8,nfl
tennis_offset_-0.6_cut_24,56,0.8513999397504248,-0.6,tennis
cricket_cut_3_45,0,-0.8513999397504248,0,cricket
soccer_offset_0.4_cut_2_25,0,-0.8513999397504248,0.4,soccer
cricket_offset_-1_cut_3_45,24,-0.12162856282148925,-1,cricket
soccer_cut_2_25,0,-0.8513999397504248,0,soccer
tennis_cut_24,0,-0.8513999397504248,0,tennis
soccer_offset_-0.8_cut_2_25,0,-0.8513999397504248,-0.8,soccer
nfl_offset_-1.5_cut_7_00,64,1.0946570653934034,-1.5,nfl
tennis_offset_-1.5_cut_24,62,1.0338427839826587,-1.5,tennis
cricket_offset_0.2_cut_3_45,5,-0.6993642362235633,0.2,cricket
soccer_offset_0.8_cut_2_25,58,0.9122142211611695,0.8,soccer
cricket_offset_-0.8_cut_3_45,75,1.4291356131524988,-0.8,cricket
soccer_offset_2.5_cut_2_25,93,1.9764641458492003,2.5,soccer
nfl_offset_-0.6_cut_7_00,72,1.3379141910363819,-0.6,nfl
tennis_offset_1_cut_24,61,1.0034356432772864,1,tennis
soccer_offset_-0.4_cut_2_25,1,-0.8209927990450525,-0.4,soccer
newsreader_offset_-0.1_cut_5,0,-0.8513999397504248,-0.1,newsreader
cricket_offset_1_cut_3_45,79,1.550764175973988,1,cricket
nfl_offset_1.5_cut_7_00,88,1.824428442322339,1.5,nfl
tennis_offset_0.6_cut_24,59,0.9426213618665418,0.6,tennis
nfl_offset_-0.2_cut_7_00,0,-0.8513999397504248,-0.2,nfl
newsreader_offset_-0.05_cut_5,0,-0.8513999397504248,-0.05,newsreader
nfl_offset_0.2_cut_7_00,0,-0.8513999397504248,0.2,nfl
soccer_offset_0.2_cut_2_25,12,-0.486514251285957,0.2,soccer
cricket_offset_0.8_cut_3_45,65,1.1250642060987757,0.8,cricket
newsreader_offset_0.05_cut_5,0,-0.8513999397504248,0.05,newsreader
