video,score,zscore,offset,content
0,1,-2.509795559540014,0,0
tennis_cut_24,21,-1.5559036661337586,0,tennis
nfl_offset_1.5_cut_7_00,19,-1.6512928554743842,1.5,nfl
newsreader_offset_0.1_cut_5,26,-1.3174306927821948,0.1,newsreader
nfl_offset_0.2_cut_7_00,39,-0.6974009620681288,0.2,nfl
tennis_offset_0.6_cut_24,47,-0.3158442047056267,0.6,tennis
newsreader_offset_0.2_cut_5,29,-1.1743469087712566,0.2,newsreader
soccer_offset_-0.4_cut_2_25,47,-0.3158442047056267,-0.4,soccer
newsreader_offset_-0.4_cut_5,28,-1.2220415034415693,-0.4,newsreader
nfl_cut_7_00,52,-0.07737123135406283,0,nfl
newsreader_offset_-0.05_cut_5,16,-1.7943766394853224,-0.05,newsreader
tennis_offset_1.5_cut_24,46,-0.3635387993759394,1.5,tennis
cricket_offset_-0.4_cut_3_45,60,0.3041855260084393,-0.4,cricket
nfl_offset_-0.2_cut_7_00,55,0.06571255265687548,-0.2,nfl
cricket_offset_-0.8_cut_3_45,59,0.25649093133812656,-0.8,cricket
tennis_offset_-1_cut_24,54,0.018017957986562708,-1,tennis
soccer_offset_-0.8_cut_2_25,64,0.49496390468969037,-0.8,soccer
tennis_offset_1_cut_24,56,0.11340714732718825,1,tennis
newsreader_offset_0.4_cut_5,49,-0.22045501536500114,0.4,newsreader
nfl_offset_0.8_cut_7_00,57,0.16110174199750102,0.8,nfl
tennis_offset_-0.6_cut_24,52,-0.07737123135406283,-0.6,tennis
nfl_offset_-0.8_cut_7_00,53,-0.029676636683750063,-0.8,nfl
cricket_offset_-0.2_cut_3_45,57,0.16110174199750102,-0.2,cricket
soccer_offset_-2.5_cut_2_25,73,0.9242152567225053,-2.5,soccer
cricket_offset_0.2_cut_3_45,64,0.49496390468969037,0.2,cricket
tennis_offset_-0.2_cut_24,60,0.3041855260084393,-0.2,tennis
newsreader_offset_0.05_cut_5,66,0.5903530940303159,0.05,newsreader
nfl_offset_-1.5_cut_7_00,61,0.3518801206787521,-1.5,nfl
soccer_cut_2_25,53,-0.029676636683750063,0,soccer
newsreader_cut_5,23,-1.460514476793133,0,newsreader
nfl_offset_0.6_cut_7_00,62,0.39957471534906486,0.6,nfl
tennis_offset_0.2_cut_24,68,0.6857422833709415,0.2,tennis
cricket_offset_-1_cut_3_45,90,1.7350233661178223,-1,cricket
newsreader_offset_-0.2_cut_5,30,-1.1266523141009437,-0.2,newsreader
soccer_offset_0.8_cut_2_25,74,0.971909851392818,0.8,soccer
cricket_offset_1_cut_3_45,94,1.9258017447990734,1,cricket
soccer_offset_0.4_cut_2_25,79,1.210382824744382,0.4,soccer
nfl_offset_-0.6_cut_7_00,68,0.6857422833709415,-0.6,nfl
cricket_offset_0.4_cut_3_45,81,1.3057720140850075,0.4,cricket
newsreader_offset_-0.1_cut_5,33,-0.9835685300900054,-0.1,newsreader
cricket_offset_0.8_cut_3_45,92,1.8304125554584478,0.8,cricket
soccer_offset_0.2_cut_2_25,82,1.3534666087553202,0.2,soccer
cricket_cut_3_45,52,-0.07737123135406283,0,cricket
soccer_offset_-0.2_cut_2_25,60,0.3041855260084393,-0.2,soccer
tennis_offset_-1.5_cut_24,61,0.3518801206787521,-1.5,tennis
