video,score,zscore,offset,content
0,1,-1.2778642090785908,0,0
cricket_offset_0.2_cut_3_45,34,-0.25205888418102296,0.2,cricket
newsreader_offset_-0.4_cut_5,72,0.9291714899434491,-0.4,newsreader
tennis_offset_0.6_cut_24,55,0.40072632257197477,0.6,tennis
nfl_offset_-1.5_cut_7_00,20,-0.6872490220163547,-1.5,nfl
newsreader_offset_0.1_cut_5,71,0.8980864800980682,0.1,newsreader
nfl_offset_0.6_cut_7_00,32,-0.31422890387178465,0.6,nfl
tennis_offset_-1_cut_24,7,-1.0913541500063058,-1,tennis
nfl_offset_-0.8_cut_7_00,20,-0.6872490220163547,-0.8,nfl
nfl_offset_-0.2_cut_7_00,2,-1.24677919923321,-0.2,nfl
soccer_offset_-0.4_cut_2_25,5,-1.1535241696970675,-0.4,soccer
nfl_offset_0.8_cut_7_00,17,-0.7805040515524974,0.8,nfl
soccer_offset_-2.5_cut_2_25,98,1.7373817459233512,-2.5,soccer
tennis_offset_-0.2_cut_24,18,-0.7494190417071165,-0.2,tennis
soccer_offset_-0.2_cut_2_25,2,-1.24677919923321,-0.2,soccer
nfl_cut_7_00,2,-1.24677919923321,0,nfl
cricket_offset_0.8_cut_3_45,82,1.2400215883972576,0.8,cricket
nfl_offset_-0.6_cut_7_00,32,-0.31422890387178465,-0.6,nfl
cricket_offset_1_cut_3_45,66,0.7426614308711641,1,cricket
nfl_offset_0.2_cut_7_00,38,-0.12771884479949958,0.2,nfl
cricket_offset_-0.4_cut_3_45,47,0.152046243808928,-0.4,cricket
tennis_offset_1.5_cut_24,17,-0.7805040515524974,1.5,tennis
cricket_offset_-1_cut_3_45,91,1.5197866770056851,-1,cricket
tennis_offset_1_cut_24,49,0.2142162634996897,1,tennis
newsreader_offset_0.2_cut_5,94,1.6130417065418277,0.2,newsreader
newsreader_offset_0.05_cut_5,15,-0.842674071243259,0.05,newsreader
cricket_offset_-0.8_cut_3_45,71,0.8980864800980682,-0.8,cricket
newsreader_offset_-0.05_cut_5,3,-1.215694189387829,-0.05,newsreader
cricket_offset_0.4_cut_3_45,35,-0.2209738743356421,0.4,cricket
newsreader_cut_5,32,-0.31422890387178465,0,newsreader
cricket_offset_-0.2_cut_3_45,21,-0.656164012170974,-0.2,cricket
tennis_offset_0.2_cut_24,4,-1.1846091795424483,0.2,tennis
soccer_offset_0.4_cut_2_25,69,0.8359164604073066,0.4,soccer
soccer_offset_0.8_cut_2_25,83,1.2711065982426384,0.8,soccer
tennis_offset_-0.6_cut_24,67,0.7737464407165449,-0.6,tennis
soccer_offset_2.5_cut_2_25,100,1.7995517656141127,2.5,soccer
newsreader_offset_-0.2_cut_5,40,-0.0655488251087379,-0.2,newsreader
tennis_offset_-1.5_cut_24,70,0.8670014702526875,-1.5,tennis
nfl_offset_1.5_cut_7_00,87,1.3954466376241619,1.5,nfl
newsreader_offset_-0.1_cut_5,4,-1.1846091795424483,-0.1,newsreader
soccer_offset_-0.8_cut_2_25,67,0.7737464407165449,-0.8,soccer
cricket_cut_3_45,7,-1.0913541500063058,0,cricket
soccer_offset_0.2_cut_2_25,57,0.46289634226273646,0.2,soccer
newsreader_offset_0.4_cut_5,96,1.6752117262325894,0.4,newsreader
soccer_cut_2_25,27,-0.46965395309868885,0,soccer
tennis_cut_24,10,-0.9980991204701632,0,tennis
