video,score,zscore,offset,content
0,1,-1.3937044906858336,0,0
soccer_offset_-2.5_cut_2_25,90,2.0601854517280906,-2.5,soccer
cricket_offset_0.4_cut_3_45,86,1.904954443080274,0.4,cricket
nfl_cut_7_00,51,0.5466831174118767,0,nfl
tennis_offset_1_cut_24,7,-1.1608579777141084,1,tennis
nfl_offset_0.6_cut_7_00,35,-0.07424091717939058,0.6,nfl
tennis_offset_-0.6_cut_24,31,-0.2294719258272074,-0.6,tennis
nfl_offset_-0.2_cut_7_00,17,-0.7727804560945664,-0.2,nfl
cricket_cut_3_45,28,-0.34589518231307004,0,cricket
soccer_offset_0.8_cut_2_25,38,0.04218233930647205,0.8,soccer
newsreader_offset_-0.05_cut_5,5,-1.2384734820380168,-0.05,newsreader
soccer_offset_0.4_cut_2_25,8,-1.1220502255521543,0.4,soccer
newsreader_offset_0.4_cut_5,63,1.0123761433553273,0.4,newsreader
soccer_offset_-0.4_cut_2_25,46,0.3526443566021057,-0.4,soccer
nfl_offset_0.8_cut_7_00,40,0.11979784363038046,0.8,nfl
tennis_offset_-0.2_cut_24,8,-1.1220502255521543,-0.2,tennis
newsreader_offset_-0.2_cut_5,12,-0.9668192169043374,-0.2,newsreader
nfl_offset_-1.5_cut_7_00,60,0.8959528868694646,-1.5,nfl
soccer_offset_-0.2_cut_2_25,14,-0.889203712580429,-0.2,soccer
newsreader_offset_0.05_cut_5,48,0.43025986092601415,0.05,newsreader
nfl_offset_0.2_cut_7_00,25,-0.46231843879893264,0.2,nfl
tennis_offset_-1_cut_24,53,0.6242986217357852,-1,tennis
cricket_offset_-0.8_cut_3_45,79,1.6333001779465945,-0.8,cricket
tennis_offset_1.5_cut_24,28,-0.34589518231307004,1.5,tennis
cricket_offset_-0.4_cut_3_45,59,0.8571451347075104,-0.4,cricket
cricket_offset_-0.2_cut_3_45,6,-1.1996657298760627,-0.2,cricket
tennis_cut_24,14,-0.889203712580429,0,tennis
cricket_offset_0.2_cut_3_45,36,-0.03543316501743637,0.2,cricket
newsreader_cut_5,11,-1.0056269690662916,0,newsreader
nfl_offset_1.5_cut_7_00,37,0.003374587144517841,1.5,nfl
soccer_cut_2_25,9,-1.0832424733902,0,soccer
tennis_offset_0.6_cut_24,21,-0.6175494474467494,0.6,tennis
newsreader_offset_-0.4_cut_5,55,0.7019141260596936,-0.4,newsreader
cricket_offset_1_cut_3_45,62,0.973568391193373,1,cricket
newsreader_offset_-0.1_cut_5,12,-0.9668192169043374,-0.1,newsreader
soccer_offset_-0.8_cut_2_25,37,0.003374587144517841,-0.8,soccer
tennis_offset_0.2_cut_24,9,-1.0832424733902,0.2,tennis
soccer_offset_2.5_cut_2_25,85,1.8661466909183198,2.5,soccer
tennis_offset_-1.5_cut_24,84,1.8273389387563657,-1.5,tennis
newsreader_offset_0.2_cut_5,71,1.322838160650961,0.2,newsreader
cricket_offset_-1_cut_3_45,46,0.3526443566021057,-1,cricket
newsreader_offset_0.1_cut_5,22,-0.5787416952847952,0.1,newsreader
soccer_offset_0.2_cut_2_25,30,-0.26827967798916164,0.2,soccer
nfl_offset_-0.8_cut_7_00,16,-0.8115882082565206,-0.8,nfl
cricket_offset_0.8_cut_3_45,77,1.5556846736226861,0.8,cricket
nfl_offset_-0.6_cut_7_00,26,-0.42351068663697844,-0.6,nfl
